[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 04:06:27.933430] Sent record 64963
[2025-05-21 04:06:28.934227] Sent record 64967
[2025-05-21 04:06:29.934835] Sent record 64968
[2025-05-21 04:06:30.935467] Sent record 64969
[2025-05-21 04:06:31.936229] Sent record 64970
[2025-05-21 04:06:32.937118] Sent record 64971
[2025-05-21 04:06:33.937981] Sent record 64973
[2025-05-21 04:06:34.938820] Sent record 64972
[2025-05-21 04:06:35.939494] Sent record 64974
[2025-05-21 04:06:36.940289] Sent record 64975
[2025-05-21 04:06:37.940993] Sent record 64976
[2025-05-21 04:06:38.941967] Sent record 64977
[2025-05-21 04:06:39.942726] Sent record 64978
[2025-05-21 04:06:40.943708] Sent record 64979
[2025-05-21 04:06:41.944424] Sent record 64980
[2025-05-21 04:06:42.945213] Sent record 64981
[2025-05-21 04:06:43.945968] Sent record 64982
[2025-05-21 04:06:44.946773] Sent record 64983
[2025-05-21 04:06:45.947522] Sent record 64987
[2025-05-21 04:06:46.949688] Sent record 64984
[2025-05-21 04:06:47.950713] Sent record 64985
[2025-05-21 04:06:48.951671] Sent record 64986
[2025-05-21 04:06:49.952517] Sent record 64988
[2025-05-21 04:06:50.953242] Sent record 64989
[2025-05-21 04:06:51.954067] Sent record 64990
[2025-05-21 04:06:52.954907] Sent record 64993
[2025-05-21 04:06:53.955769] Sent record 64991
[2025-05-21 04:06:54.956551] Sent record 64992
[2025-05-21 04:06:55.957421] Sent record 64994
[2025-05-21 04:06:56.958281] Sent record 64995
[2025-05-21 04:06:57.959024] Sent record 64996
[2025-05-21 04:06:58.959970] Sent record 64997
[2025-05-21 04:06:59.960692] Sent record 64998
[2025-05-21 04:07:00.961380] Sent record 64999
[2025-05-21 04:07:01.962224] Sent record 65002
[2025-05-21 04:07:02.962947] Sent record 65000
[2025-05-21 04:07:03.963734] Sent record 65001
[2025-05-21 04:07:04.964478] Sent record 65003
[2025-05-21 04:07:05.965673] Sent record 65005
[2025-05-21 04:07:06.966902] Sent record 65006
[2025-05-21 04:07:07.967795] Sent record 65007
[2025-05-21 04:07:08.968490] Sent record 65004
[2025-05-21 04:07:09.969304] Sent record 65008
[2025-05-21 04:07:10.970189] Sent record 65009
[2025-05-21 04:07:11.971059] Sent record 65014
[2025-05-21 04:07:12.971891] Sent record 65013
[2025-05-21 04:07:13.972711] Sent record 65011
[2025-05-21 04:07:14.973521] Sent record 65010
[2025-05-21 04:07:15.974354] Sent record 65012
[2025-05-21 04:07:16.975200] Sent record 65015
[2025-05-21 04:07:17.976017] Sent record 65016
[2025-05-21 04:07:18.976814] Sent record 65017
[2025-05-21 04:07:19.977551] Sent record 65018
